name,lon_lat,coor_type,category
مفرق السليل,"[[46.387517, 17.410133]]",POINT,طرق صحراوية
,"[[44.423089, 19.335444], [44.429719, 19.348018], [44.440362, 19.375377], [44.445341, 19.392028], [44.444354, 19.409645], [44.441349, 19.421597]]",LINESTRING,طرق صحراوية
,"[[44.441349, 19.421597], [44.443023, 19.427884], [44.448001, 19.436681]]",LINESTRING,طرق صحراوية
مورد ماء,"[[47.093239, 17.091122]]",POINT,موارد مياه
بئر ابن سويلم,"[[50.649548, 18.97459]]",POINT,موارد مياه
بئر ابو مسيجد,"[[50.937595, 18.939915]]",POINT,موارد مياه
بئر البتراء,"[[46.916943, 17.606299]]",POINT,موارد مياه
بئر اوبار,"[[50.774345, 18.852367]]",POINT,موارد مياه
بئر خضفيعة,"[[50.753746, 19.011326]]",POINT,موارد مياه
بئر سالم,"[[50.695724, 18.950901]]",POINT,موارد مياه
بئر طريوة,"[[50.606632, 18.974075]]",POINT,موارد مياه
بئر عرفجة,"[[50.656242, 18.982658]]",POINT,موارد مياه
بئر فرجة,"[[50.668774, 18.997421]]",POINT,موارد مياه
بئر ورسة,"[[50.588436, 18.958282]]",POINT,موارد مياه
بئر ورم,"[[50.896397, 18.944378]]",POINT,موارد مياه
قصر اثري,"[[44.153967, 17.471094]]",POINT,مواقع اثرية
شقاف سرداب,"[[50.359011, 18.770742]]",POINT,نفود
شقة الاثارات,"[[49.920244, 19.095526]]",POINT,نفود
شقة البكرة,"[[47.123194, 17.736311]]",POINT,نفود
شقة الحاوي,"[[45.724754, 17.386894]]",POINT,نفود
شقة الردم,"[[46.27141, 18.150358]]",POINT,نفود
شقة القار,"[[47.626505, 17.849951]]",POINT,نفود
شقة القعود,"[[47.916956, 17.925482]]",POINT,نفود
شقة الكنوب,"[[46.870852, 17.475386]]",POINT,نفود
شقة ام الكناور,"[[46.608553, 17.716398]]",POINT,نفود
شقق الحلم,"[[46.786737, 17.678976]]",POINT,نفود
شقق الخريطة,"[[46.244631, 17.472982]]",POINT,نفود
شقق المناهيل,"[[46.518602, 17.519674]]",POINT,نفود
شقق امهات جودان,"[[46.92338, 17.31883]]",POINT,نفود
شقق بن دلهام,"[[46.843729, 17.940931]]",POINT,نفود
شقق بهجه,"[[46.705456, 17.380543]]",POINT,نفود
عرق ال قنيبر,"[[47.042513, 18.173017]]",POINT,نفود
حقنة ابن غشام,"[[50.382013, 19.180326]]",POINT,نفود
عرق الرمرام,"[[44.94215, 17.741632]]",POINT,نفود
عرق الزيزا,"[[47.246919, 17.08256]]",POINT,نفود
عرق السيول,"[[45.327187, 17.490234]]",POINT,نفود
عرق الفلس,"[[46.978998, 17.202444]]",POINT,نفود
عرق الكتيب,"[[46.923895, 17.121935]]",POINT,نفود
عرق سنان,"[[44.802504, 17.78841]]",POINT,نفود
عرق غضي,"[[45.715141, 19.419022]]",POINT,نفود
عرق مخيط,"[[45.539961, 19.210625]]",POINT,نفود
عرق مشنية,"[[46.845446, 17.223387]]",POINT,نفود
عرق منيفة,"[[45.903711, 18.247862]]",POINT,نفود
عرق نايف,"[[50.320559, 18.924894]]",POINT,نفود
عرق هويمل,"[[45.948, 17.384062]]",POINT,نفود
عرق ود,"[[45.868692, 19.254484]]",POINT,نفود
