city,neighborhood_aname,neighborhood_ename,type,subtype_name,point_aname,point_ename,postal_code,building_no,additional_no,short_address,street_aname,street_ename,CentroidX,CentroidY
الرياض,الملقا,AL-MALQA,Financial Service,ATM Machine,صراف الإنماء,alinma atm,13521,6890,4562,RRMB6890,طريق الملك فهد الفرعي,King Fahad Branch Rd,46.629936743282,24.7942009864405
الرياض,الملقا,AL-MALQA,Commercial,Trading Center,بقالة متعب بن محمد,muttaeib bin muhammad,13521,6976,3303,RRMC6976,عبدالله بن شهيوين,Abdullah Ibn Shahiween,46.6174220906853,24.7951375825279
الرياض,الملقا,AL-MALQA,Commercial,Trading Center,عجلان واخوانه,eujalan wa akhwanuh,13521,6978,4537,RRMB6978,طريق الملك فهد الفرعي,King Fahad Branch Rd,46.6295938665427,24.7949419098522
الرياض,الملقا,AL-MALQA,Auto-Service,Auto Agency,عبداللطيف جميل,abdul latif jameel,13521,7010,4522,RRMC7010,طريق الملك فهد الفرعي,King Fahad Branch Rd,46.6294481245561,24.795227445173
الرياض,الملقا,AL-MALQA,Religious,Mosque,مسجد الشيخ عثمان بن علي الموسى,sheikh othman bin ali mosque,13521,7016,3288,RRMC7016,عبدالله بن شهيوين,Abdullah Ibn Shahiween,46.6171651088968,24.7953850464725
الرياض,الملقا,AL-MALQA,Restaurant,Fast Food,دجاج تكساس الملقا,texas chicken texas chicken riyadh texas chicken riyadh texas chicken,13521,7042,4508,RRMD7042,طريق الملك فهد الفرعي,King Fahad Branch Rd,46.6292756136332,24.7955100061674
الرياض,الملقا,AL-MALQA,Restaurant,Fast Food,اي برقر,iburger,13521,7062,4495,RRMD7062,طريق الملك فهد الفرعي,King Fahad Branch Rd,46.629216127108,24.7956676454591
الرياض,الملقا,AL-MALQA,Restaurant,Fast Food,كنتاكي,kfc,13521,7062,4495,RRMD7062,طريق الملك فهد الفرعي,King Fahad Branch Rd,46.6291449060254,24.7957994086687
الرياض,الملقا,AL-MALQA,Restaurant,Fast Food,المايسترو بيتزا,maestro pizza,,,,,,,46.6290584878164,24.795956155106
الرياض,الملقا,AL-MALQA,Restaurant,Fast Food,بيتزا هت,pizza hut,13521,7104,4476,RRMB7104,طريق الملك فهد الفرعي,King Fahad Branch Rd,46.628963309376,24.7961316403553
الرياض,الملقا,AL-MALQA,Pharmacy,Phamacy with Home Delevery,صيدلية النهدي(توصيل),Nahdi Pharmacy(Delivery),13521,7144,4445,RRMB7144,طريق الملك فهد الفرعي,King Fahad Branch Rd,46.628697,24.7966046
